tahun,provinsi,luas_panen_ha,produksi_ton,produktivitas_ton_per_ha
2024,ACEH,301196.35,1659966.28,5.511
2024,SUMATERA UTARA,419463.48,2204875.51,5.256
2024,SUMATERA BARAT,295278.98,1356467.93,4.593999999999999
2024,RIAU,56421.96,222055.71,3.936
2024,JAMBI,61625.68,281022.05,4.5600000000000005
2024,SUMATERA SELATAN,521092.21,2909411.67,5.583
2024,BENGKULU,55775.09,272848.55,4.892
2024,LAMPUNG,531715.12,2791347.53,5.25
2024,KEP. BANGKA BELITUNG,18202.56,77489.79,4.257
2024,KEP. RIAU,113.33,305.09,2.692
2024,DKI JAKARTA,498.31,2306.54,4.629
2024,JAWA BARAT,1475362.09,8626879.91,5.8469999999999995
2024,JAWA TENGAH,1554777.14,8891297.05,5.718999999999999
2024,DI YOGYAKARTA,96976.13,452831.77,4.67
2024,JAWA TIMUR,1616985.05,9270435.29,5.733
2024,BANTEN,299090.79,1550623.46,5.184
2024,BALI,103803.93,635473.35,6.122
2024,NUSA TENGGARA BARAT,281717.84,1453408.37,5.159000000000001
2024,NUSA TENGGARA TIMUR,168727.24,707792.54,4.195
2024,KALIMANTAN BARAT,247207.72,764784.15,3.0940000000000003
2024,KALIMANTAN TENGAH,111016.13,366146.82,3.2979999999999996
2024,KALIMANTAN SELATAN,246112.42,1029567.93,4.183
2024,KALIMANTAN TIMUR,63041.65,249642.9,3.96
2024,KALIMANTAN UTARA,8282.06,30079.77,3.632
2024,SULAWESI UTARA,59121.96,273134.94,4.62
2024,SULAWESI TENGAH,172606.22,761936.39,4.414
2024,SULAWESI SELATAN,951308.6,4818429.39,5.0649999999999995
2024,SULAWESI TENGGARA,129999.61,555836.08,4.276
2024,GORONTALO,46952.15,234862.88,5.002000000000001
2024,SULAWESI BARAT,63181.59,318876.59,5.047
2024,MALUKU,23947.35,91125.35,3.8049999999999997
2024,MALUKU UTARA,9366.71,31232.95,3.3340000000000005
2024,PAPUA BARAT,5121.13,20729.15,4.048
2024,PAPUA BARAT DAYA,363.87,988.64,2.717
2024,PAPUA,1068.57,4609.95,4.314
2024,PAPUA SELATAN,47168.57,217789.62,4.617
2024,PAPUA TENGAH,1436.12,6072.38,4.228
2024,PAPUA PEGUNUNGAN,9.66,42.38,4.387
